name,id,nametype,recclass,mass,fall,year,reclat,reclong,point coordinates
Kaptal-Aryk,12253,1,L6,3500.0,Fell,1937-01-01,42.45,73.36667,"[42.45, 73.36667]"
Karakol,12256,1,LL6,3000.0,Fell,1840-01-01,47.21667,81.01667,"[47.21667, 81.01667]"
Karatu,12258,1,LL6,2220.0,Fell,1963-01-01,-3.5,35.58333,"[-3.5, 35.58333]"
Karewar,12260,1,L6,180.0,Fell,1949-01-01,12.9,7.15,"[12.9, 7.15]"
Karkh,12262,1,L6,22000.0,Fell,1905-01-01,27.8,67.16667,"[27.8, 67.16667]"
Karloowala,12263,1,L6,2950.0,Fell,1955-01-01,31.58333,71.6,"[31.58333, 71.6]"
Karoonda,12264,1,CK4,41730.0,Fell,1930-01-01,-35.08333,139.91667,"[-35.08333, 139.91667]"
Kasamatsu,12266,1,H,710.0,Fell,1938-01-01,35.36667,136.76667,"[35.36667, 136.76667]"
Kasauli,30740,1,H4,16820.0,Fell,2003-01-01,29.58333,77.58333,"[29.58333, 77.58333]"
Katagum,35465,1,L6,1500.0,Fell,1999-01-01,11.33333,10.08333,"[11.33333, 10.08333]"
Kavarpura,47351,1,"Iron, IIE-an",6800.0,Fell,2006-01-01,25.14333,75.81333,"[25.14333, 75.81333]"
Kayakent,12268,1,"Iron, IIIAB",85000.0,Fell,1961-01-01,39.26333,31.78,"[39.26333, 31.78]"
Kediri,12270,1,L4,3300.0,Fell,1940-01-01,-7.75,112.01667,"[-7.75, 112.01667]"
Kemer,53654,1,L4,5760.0,Fell,2008-01-01,36.54194,29.41822,"[36.54194, 29.41822]"
Kendleton,12275,1,L4,6937.0,Fell,1939-01-01,29.45,-96.0,"[29.45, -96.0]"
Kendrapara,12276,1,H4-5,6669.2,Fell,2003-01-01,20.4625,86.70278,"[20.4625, 86.70278]"
Kerilis,12282,1,H5,5000.0,Fell,1874-01-01,48.4,-3.3,"[48.4, -3.3]"
Kernouve,12284,1,H6,80000.0,Fell,1869-01-01,48.11667,-3.08333,"[48.11667, -3.08333]"
Kesen,12286,1,H4,135000.0,Fell,1850-01-01,38.98333,141.61667,"[38.98333, 141.61667]"
Khairpur,12288,1,EL6,13600.0,Fell,1873-01-01,29.53333,72.3,"[29.53333, 72.3]"
Khanpur,12289,1,LL5,3698.0,Fell,1932-01-01,25.55,83.11667,"[25.55, 83.11667]"
Kharkov,12291,1,L6,1500.0,Fell,1787-01-01,50.625,35.075,"[50.625, 35.075]"
Kheragur,12294,1,L6,450.0,Fell,1860-01-01,26.95,77.88333,"[26.95, 77.88333]"
Khetri,12296,1,H6,100.0,Fell,1867-01-01,28.01667,75.81667,"[28.01667, 75.81667]"
Khmelevka,12297,1,L5,6109.0,Fell,1929-01-01,56.75,75.33333,"[56.75, 75.33333]"
Khohar,12298,1,L3.6,9700.0,Fell,1910-01-01,25.1,81.53333,"[25.1, 81.53333]"
Khor Temiki,12299,1,Aubrite,3200.0,Fell,1932-01-01,16.0,36.0,"[16.0, 36.0]"
Kidairat,12300,1,H6,100000.0,Fell,1983-01-01,14.0,28.0,"[14.0, 28.0]"
Kiel,12301,1,L6,737.6,Fell,1962-01-01,54.4,10.15,"[54.4, 10.15]"
Kiffa,12303,1,H5,1500.0,Fell,1970-01-01,16.58333,-11.33333,"[16.58333, -11.33333]"
Kijima (1906),12305,1,Stone-uncl,331.0,Fell,1906-01-01,36.85,138.38333,"[36.85, 138.38333]"
Kikino,12306,1,H6,195.0,Fell,1809-01-01,55.0,34.0,"[55.0, 34.0]"
Kilabo,12307,1,LL6,19000.0,Fell,2002-01-01,12.76667,9.8,"[12.76667, 9.8]"
Kilbourn,12308,1,H5,772.0,Fell,1911-01-01,43.58333,-89.6,"[43.58333, -89.6]"
Killeter,12309,1,H6,140.0,Fell,1844-01-01,54.66667,-7.66667,"[54.66667, -7.66667]"
Kingai,12316,1,H6,67.4,Fell,1967-01-01,11.63333,24.68333,"[11.63333, 24.68333]"
Kirbyville,12321,1,Eucrite-mmict,97.7,Fell,1906-01-01,30.75,-95.95,"[30.75, -95.95]"
Kisvarsány,12325,1,L6,1550.0,Fell,1914-01-01,48.16667,22.30833,"[48.16667, 22.30833]"
Kitchener,12326,1,L6,202.6,Fell,1998-01-01,43.38333,-80.38333,"[43.38333, -80.38333]"
Klein-Wenden,12332,1,H6,3250.0,Fell,1843-01-01,51.6,10.8,"[51.6, 10.8]"
Knyahinya,12335,1,L/LL5,500000.0,Fell,1866-01-01,48.9,22.4,"[48.9, 22.4]"
Kobe,12336,1,CK4,136.0,Fell,1999-01-01,34.73333,135.16667,"[34.73333, 135.16667]"
Kokubunji,12342,1,L6,11510.0,Fell,1986-01-01,34.3,133.95,"[34.3, 133.95]"
Komagome,12343,1,Iron,238.0,Fell,1926-01-01,35.73333,139.75,"[35.73333, 139.75]"
Konovo,12344,1,LL5,90.0,Fell,1931-01-01,42.51667,26.16667,"[42.51667, 26.16667]"
Košice,53810,1,H5,4300.0,Fell,2010-01-01,48.76367,21.17633,"[48.76367, 21.17633]"
Krähenberg,12353,1,LL5,16500.0,Fell,1869-01-01,49.32694,7.46472,"[49.32694, 7.46472]"
Krasnoi-Ugol,12355,1,L6,2440.0,Fell,1829-01-01,54.03333,40.9,"[54.03333, 40.9]"
Krasnyi Klyuch,12357,1,H5,4000.0,Fell,1946-01-01,54.33333,56.08333,"[54.33333, 56.08333]"
Krutikha,12363,1,OC,845.2,Fell,1906-01-01,56.8,77.0,"[56.8, 77.0]"
Krymka,12364,1,LL3.2,50000.0,Fell,1946-01-01,47.83333,30.76667,"[47.83333, 30.76667]"
Kukschin,12368,1,L6,2250.0,Fell,1938-01-01,51.15,31.7,"[51.15, 31.7]"
Kulak,12369,1,L5,453.6,Fell,1961-01-01,30.73111,66.80222,"[30.73111, 66.80222]"
Kuleschovka,12370,1,L6,6000.0,Fell,1811-01-01,50.75,33.5,"[50.75, 33.5]"
Kulp,12373,1,H6,3719.0,Fell,1906-01-01,41.11667,45.0,"[41.11667, 45.0]"
Kunashak,12377,1,L6,200000.0,Fell,1949-01-01,55.78333,61.36667,"[55.78333, 61.36667]"
Kunya-Urgench,12379,1,H5,1100000.0,Fell,1998-01-01,42.25,59.2,"[42.25, 59.2]"
Kushiike,12381,1,OC,4460.0,Fell,1920-01-01,37.05,138.38333,"[37.05, 138.38333]"
Kusiali,12382,1,L6,5.0,Fell,1860-01-01,29.68333,78.38333,"[29.68333, 78.38333]"
Kutais,12383,1,H5,23.0,Fell,1977-01-01,44.51667,39.3,"[44.51667, 39.3]"
Kuttippuram,12384,1,L6,45000.0,Fell,1914-01-01,10.83333,76.03333,"[10.83333, 76.03333]"
Kuznetzovo,12385,1,L6,4047.0,Fell,1932-01-01,55.2,75.33333,"[55.2, 75.33333]"
Kyushu,12390,1,L6,45000.0,Fell,1886-01-01,32.03333,130.63333,"[32.03333, 130.63333]"
La Bécasse,12392,1,L6,2800.0,Fell,1879-01-01,47.08333,1.75,"[47.08333, 1.75]"
La Charca,12394,1,OC,399.0,Fell,1878-01-01,20.66667,-101.28333,"[20.66667, -101.28333]"
La Colina,12395,1,H5,2000.0,Fell,1924-01-01,-37.33333,-61.53333,"[-37.33333, -61.53333]"
La Criolla,12396,1,L6,45000.0,Fell,1985-01-01,-31.23333,-58.16667,"[-31.23333, -58.16667]"
Laborel,12408,1,H5,3833.0,Fell,1871-01-01,44.28333,5.58333,"[44.28333, 5.58333]"
Lahrauli,12433,1,Ureilite,900.0,Fell,1955-01-01,26.78333,82.71667,"[26.78333, 82.71667]"
L'Aigle,12434,1,L6,37000.0,Fell,1803-01-01,48.76667,0.63333,"[48.76667, 0.63333]"
Cumulus Hills 04075,32531,1,Pallasite,9.6,Found,2003-01-01,,,
Lakangaon,12435,1,Eucrite-mmict,212.5,Fell,1910-01-01,21.86667,76.03333,"[21.86667, 76.03333]"
Lalitpur,12451,1,L6,372.0,Fell,1887-01-01,24.45,78.56667,"[24.45, 78.56667]"
Lancé,12455,1,CO3.5,51700.0,Fell,1872-01-01,47.7,1.06667,"[47.7, 1.06667]"
Lancon,12456,1,H6,7000.0,Fell,1897-01-01,43.75,5.11667,"[43.75, 5.11667]"
Långhalsen,12461,1,L6,2300.0,Fell,1947-01-01,58.85,16.73333,"[58.85, 16.73333]"
Lanxi,12464,1,L6,1282.0,Fell,1986-01-01,46.24167,126.19611,"[46.24167, 126.19611]"
Lanzenkirchen,12465,1,L4,7000.0,Fell,1925-01-01,47.75,16.23333,"[47.75, 16.23333]"
Laochenzhen,12466,1,H5,14250.0,Fell,1987-01-01,33.13333,115.16667,"[33.13333, 115.16667]"
Launton,12740,1,L6,1060.0,Fell,1830-01-01,51.9,-1.11667,"[51.9, -1.11667]"
Lavrentievka,12743,1,L6,800.0,Fell,1938-01-01,52.45,51.56667,"[52.45, 51.56667]"
Le Pressoir,12748,1,H5,3000.0,Fell,1845-01-01,47.16667,0.43333,"[47.16667, 0.43333]"
Le Teilleul,12749,1,Howardite,780.0,Fell,1845-01-01,48.53333,-0.86667,"[48.53333, -0.86667]"
Leedey,12755,1,L6,51500.0,Fell,1943-01-01,35.88333,-99.33333,"[35.88333, -99.33333]"
Leeuwfontein,12756,1,L6,460.0,Fell,1912-01-01,-25.66667,28.36667,"[-25.66667, 28.36667]"
Leighlinbridge,12759,1,L6,271.4,Fell,1999-01-01,52.66667,-6.96667,"[52.66667, -6.96667]"
Leighton,12760,1,H5,877.0,Fell,1907-01-01,34.58333,-87.5,"[34.58333, -87.5]"
Leonovka,12765,1,L6,700.0,Fell,1900-01-01,52.26667,32.85,"[52.26667, 32.85]"
Les Ormes,12769,1,L6,125.0,Fell,1857-01-01,48.35,3.25,"[48.35, 3.25]"
Lesves,12772,1,L6,2000.0,Fell,1896-01-01,50.36667,4.73333,"[50.36667, 4.73333]"
Lichtenberg,14646,1,H6,4000.0,Fell,1973-01-01,-26.15,26.18333,"[-26.15, 26.18333]"
Lillaverke,14650,1,H5,6862.0,Fell,1930-01-01,56.65,15.86667,"[56.65, 15.86667]"
Limerick,14652,1,H5,50000.0,Fell,1813-01-01,52.56667,-8.78333,"[52.56667, -8.78333]"
Linum,14655,1,L6,1862.0,Fell,1854-01-01,52.75,12.9,"[52.75, 12.9]"
Lishui,14659,1,L5,498.0,Fell,1978-01-01,31.63333,118.98333,"[31.63333, 118.98333]"
Lissa,14661,1,L6,12800.0,Fell,1808-01-01,50.2,14.85,"[50.2, 14.85]"
Little Piney,14664,1,L5,491.0,Fell,1839-01-01,37.91667,-92.08333,"[37.91667, -92.08333]"
Lixna,14670,1,H4,5213.0,Fell,1820-01-01,56.0,26.43333,"[56.0, 26.43333]"
Lodran,14675,1,Lodranite,1000.0,Fell,1868-01-01,29.53333,71.8,"[29.53333, 71.8]"
Lohawat,14678,1,Howardite,40000.0,Fell,1994-01-01,26.96556,72.62667,"[26.96556, 72.62667]"
Lorton,52843,1,L6,329.7,Fell,2010-01-01,38.70066,-77.21163,"[38.70066, -77.21163]"
Los Martinez,14708,1,L6,25.0,Fell,1894-01-01,38.0,-0.83333,"[38.0, -0.83333]"
Lost City,14711,1,H5,17000.0,Fell,1970-01-01,36.00833,-95.15,"[36.00833, -95.15]"
Louisville,14716,1,L6,1300.0,Fell,1977-01-01,38.25,-85.75,"[38.25, -85.75]"
Łowicz,14718,1,Mesosiderite-A3,59000.0,Fell,1935-01-01,52.0,19.91667,"[52.0, 19.91667]"
Lua,14721,1,L5,9241.0,Fell,1926-01-01,24.95,75.15,"[24.95, 75.15]"
Lucé,14724,1,L6,3500.0,Fell,1768-01-01,47.85,0.48333,"[47.85, 0.48333]"
Lumpkin,14753,1,L6,340.0,Fell,1869-01-01,32.03333,-84.76667,"[32.03333, -84.76667]"
Lunan,14754,1,H6,2520.0,Fell,1980-01-01,24.8,103.3,"[24.8, 103.3]"
Lundsgård,14755,1,L6,11000.0,Fell,1889-01-01,56.21667,13.03333,"[56.21667, 13.03333]"
Luotolax,14756,1,Howardite,885.0,Fell,1813-01-01,61.2,27.7,"[61.2, 27.7]"
Luponnas,14757,1,H3-5,14000.0,Fell,1753-01-01,46.21667,5.0,"[46.21667, 5.0]"
Lusaka,14759,1,Unknown,,Fell,1951-01-01,-7.21667,29.43333,"[-7.21667, 29.43333]"
Mabwe-Khoywa,14764,1,L5,540.0,Fell,1937-01-01,19.0,97.0,"[19.0, 97.0]"
Macau,15370,1,H5,1500.0,Fell,1836-01-01,-5.2,-36.66667,"[-5.2, -36.66667]"
Machinga,15371,1,L6,93200.0,Fell,1981-01-01,-15.21222,35.24222,"[-15.21222, 35.24222]"
Macibini,15372,1,Eucrite-pmict,1995.0,Fell,1936-01-01,-28.83333,31.95,"[-28.83333, 31.95]"
Madhipura,15379,1,L,1000.0,Fell,1950-01-01,25.91667,86.36667,"[25.91667, 86.36667]"
Madiun,15380,1,L6,400.0,Fell,1935-01-01,-7.75,111.53333,"[-7.75, 111.53333]"
Madrid,15382,1,L6,400.0,Fell,1896-01-01,40.41667,-3.71667,"[40.41667, -3.71667]"
Mafra,15383,1,L3-4,600.0,Fell,1941-01-01,-26.16667,-49.93333,"[-26.16667, -49.93333]"
Magnesia,15386,1,"Iron, IAB-sHL",5000.0,Fell,1899-01-01,37.86667,27.51667,"[37.86667, 27.51667]"
Magombedze,15387,1,H3-5,666.6,Fell,1990-01-01,-19.48333,31.65,"[-19.48333, 31.65]"
Mahadevpur,47361,1,H4/5,70500.0,Fell,2007-01-01,27.66667,95.78333,"[27.66667, 95.78333]"
Maigatari-Danduma,30751,1,H5/6,4629.0,Fell,2004-01-01,12.83333,9.38333,"[12.83333, 9.38333]"
Malaga,15393,1,OC,150.0,Fell,1933-01-01,32.21667,-104.0,"[32.21667, -104.0]"
Malakal,15394,1,L5,2000.0,Fell,1970-01-01,9.5,31.75,"[9.5, 31.75]"
Malampaka,15395,1,H,470.0,Fell,1930-01-01,-3.13333,33.51667,"[-3.13333, 33.51667]"
Malotas,15397,1,H5,,Fell,1931-01-01,-28.93333,-63.23333,"[-28.93333, -63.23333]"
Malvern,15400,1,Eucrite-pmict,807.0,Fell,1933-01-01,-29.45,26.76667,"[-29.45, 26.76667]"
Mamra Springs,15401,1,L6,1000.0,Fell,1927-01-01,45.21667,62.08333,"[45.21667, 62.08333]"
Manbhoom,15402,1,LL6,1700.0,Fell,1863-01-01,23.05,86.7,"[23.05, 86.7]"
Manegaon,15403,1,Diogenite,50.0,Fell,1843-01-01,20.96667,76.1,"[20.96667, 76.1]"
Mangwendi,15405,1,LL6,22300.0,Fell,1934-01-01,-17.65,31.6,"[-17.65, 31.6]"
Manych,15409,1,LL3.4,3555.0,Fell,1951-01-01,45.81667,44.63333,"[45.81667, 44.63333]"
Mardan,15414,1,H5,4500.0,Fell,1948-01-01,34.23333,72.08333,"[34.23333, 72.08333]"
Maria Linden,15418,1,L4,114.0,Fell,1925-01-01,,,
Mariaville,15419,1,Iron,340.0,Fell,1898-01-01,42.71667,-99.38333,"[42.71667, -99.38333]"
Maribo,48973,1,CM2,25.81,Fell,2009-01-01,54.76183,11.46745,"[54.76183, 11.46745]"
Maridi,15421,1,H6,3200.0,Fell,1941-01-01,4.66667,29.25,"[4.66667, 29.25]"
Marilia,15422,1,H4,2500.0,Fell,1971-01-01,-22.25,-49.93333,"[-22.25, -49.93333]"
Marion (Iowa),15424,1,L6,28400.0,Fell,1847-01-01,41.9,-91.6,"[41.9, -91.6]"
Marjalahti,15426,1,"Pallasite, PMG",45000.0,Fell,1902-01-01,61.5,30.5,"[61.5, 30.5]"
Marmande,15429,1,L5,3000.0,Fell,1848-01-01,44.5,0.15,"[44.5, 0.15]"
Maromandia,15430,1,L6,6000.0,Fell,2002-01-01,-14.2,48.1,"[-14.2, 48.1]"
Maryville,15436,1,L6,1443.0,Fell,1983-01-01,35.8,-84.1,"[35.8, -84.1]"
Mascombes,15438,1,L6,1000.0,Fell,1836-01-01,45.36667,1.86667,"[45.36667, 1.86667]"
Mason Gully,53653,1,H5,24.54,Fell,2010-01-01,0.0,0.0,"[0.0, 0.0]"
Mässing,15443,1,Howardite,1600.0,Fell,1803-01-01,48.13333,12.61667,"[48.13333, 12.61667]"
Mauerkirchen,15446,1,L6,19000.0,Fell,1768-01-01,48.18333,13.13333,"[48.18333, 13.13333]"
Mauritius,15447,1,L6,220.0,Fell,1801-01-01,-20.0,57.0,"[-20.0, 57.0]"
Mayo Belwa,15451,1,Aubrite,4850.0,Fell,1974-01-01,8.96667,12.08333,"[8.96667, 12.08333]"
Mazapil,15453,1,"Iron, IAB-sLL",4000.0,Fell,1885-01-01,24.68333,-101.68333,"[24.68333, -101.68333]"
Maziba,15454,1,L6,4975.0,Fell,1942-01-01,-1.21667,30.0,"[-1.21667, 30.0]"
Mbale,15455,1,L5/6,150000.0,Fell,1992-01-01,1.06667,34.16667,"[1.06667, 34.16667]"
Medanitos,15467,1,Eucrite-cm,31.0,Fell,1953-01-01,-27.25,-67.5,"[-27.25, -67.5]"
Meerut,15469,1,H5,22.0,Fell,1861-01-01,29.01667,77.8,"[29.01667, 77.8]"
Meester-Cornelis,15470,1,H5,24750.0,Fell,1915-01-01,-6.23333,106.88333,"[-6.23333, 106.88333]"
Menow,15485,1,H4,10500.0,Fell,1862-01-01,53.18333,13.15,"[53.18333, 13.15]"
Menziswyl,15486,1,L5,28.9,Fell,1903-01-01,46.81867,7.21817,"[46.81867, 7.21817]"
Mern,15489,1,L6,4000.0,Fell,1878-01-01,55.05,12.06667,"[55.05, 12.06667]"
Meru,15491,1,LL6,6000.0,Fell,1945-01-01,0.0,37.66667,"[0.0, 37.66667]"
Merua,15492,1,H5,71400.0,Fell,1920-01-01,25.48333,81.98333,"[25.48333, 81.98333]"
Messina,15495,1,L5,2405.0,Fell,1955-01-01,38.18333,15.56667,"[38.18333, 15.56667]"
Meuselbach,16626,1,L6,870.0,Fell,1897-01-01,50.58333,11.1,"[50.58333, 11.1]"
Mezel,16627,1,L6,1300.0,Fell,1949-01-01,45.76667,3.25,"[45.76667, 3.25]"
Mezö-Madaras,16628,1,L3.7,22700.0,Fell,1852-01-01,46.5,25.73333,"[46.5, 25.73333]"
Mhow,16629,1,L6,350.0,Fell,1827-01-01,25.9,83.61667,"[25.9, 83.61667]"
Mianchi,16631,1,H5,1100.0,Fell,1980-01-01,34.8,111.7,"[34.8, 111.7]"
Middlesbrough,16632,1,L6,1600.0,Fell,1881-01-01,54.56667,-1.16667,"[54.56667, -1.16667]"
Mifflin,52090,1,L5,3584.0,Fell,2010-01-01,42.9075,-90.36556,"[42.9075, -90.36556]"
Mighei,16634,1,CM2,8000.0,Fell,1889-01-01,48.06667,30.96667,"[48.06667, 30.96667]"
Mihonoseki,16635,1,L6,6380.0,Fell,1992-01-01,35.56833,133.22,"[35.56833, 133.22]"
Mike,16636,1,L6,224.2,Fell,1944-01-01,46.23333,17.53333,"[46.23333, 17.53333]"
Milena,16640,1,L6,10000.0,Fell,1842-01-01,46.18333,16.1,"[46.18333, 16.1]"
Millbillillie,16643,1,Eucrite-mmict,330000.0,Fell,1960-01-01,-26.45,120.36667,"[-26.45, 120.36667]"
Miller (Arkansas),16645,1,H5,16700.0,Fell,1930-01-01,35.4,-92.05,"[35.4, -92.05]"
Minamino,16692,1,L,1040.0,Fell,1632-01-01,35.07833,136.93333,"[35.07833, 136.93333]"
Mineo,16696,1,Pallasite,42.0,Fell,1826-01-01,37.28333,14.7,"[37.28333, 14.7]"
Min-Fan-Zhun,16697,1,LL6,5500.0,Fell,1952-01-01,32.33333,120.66667,"[32.33333, 120.66667]"
Minnichhof,16700,1,OC,550.0,Fell,1905-01-01,47.7,16.6,"[47.7, 16.6]"
Mirzapur,16701,1,L5,8510.0,Fell,1910-01-01,25.68333,83.25,"[25.68333, 83.25]"
Misshof,16703,1,H5,5800.0,Fell,1890-01-01,56.66667,23.0,"[56.66667, 23.0]"
Mjelleim,16707,1,H,100.7,Fell,1898-01-01,61.73333,5.93333,"[61.73333, 5.93333]"
Mocs,16709,1,L5-6,300000.0,Fell,1882-01-01,46.8,24.03333,"[46.8, 24.03333]"
Modoc (1905),16711,1,L6,35000.0,Fell,1905-01-01,38.5,-101.1,"[38.5, -101.1]"
Mokoia,16713,1,CV3,4500.0,Fell,1908-01-01,-39.63333,174.4,"[-39.63333, 174.4]"
Molina,16715,1,H5,144000.0,Fell,1858-01-01,38.11667,-1.16667,"[38.11667, -1.16667]"
Molteno,16717,1,Howardite,150.0,Fell,1953-01-01,-31.25,26.46667,"[-31.25, 26.46667]"
Monahans (1998),16719,1,H5,2587.0,Fell,1998-01-01,31.60833,-102.85833,"[31.60833, -102.85833]"
Monroe,16720,1,H4,8600.0,Fell,1849-01-01,35.25,-80.5,"[35.25, -80.5]"
Monte das Fortes,16725,1,L5,4885.0,Fell,1950-01-01,38.01667,-8.25,"[38.01667, -8.25]"
Monte Milone,16726,1,L5,3130.0,Fell,1846-01-01,43.26667,13.35,"[43.26667, 13.35]"
Montferré,16727,1,H5,149000.0,Fell,1923-01-01,43.39056,1.9625,"[43.39056, 1.9625]"
Montlivault,16729,1,L6,500.0,Fell,1838-01-01,47.63333,1.58333,"[47.63333, 1.58333]"
Monze,16733,1,L6,,Fell,1950-01-01,-15.96667,27.35,"[-15.96667, 27.35]"
Moore County,16736,1,Eucrite-cm,1880.0,Fell,1913-01-01,35.41667,-79.38333,"[35.41667, -79.38333]"
Mooresfort,16737,1,H5,3520.0,Fell,1810-01-01,52.45,-8.33333,"[52.45, -8.33333]"
Moorleah,16738,1,L6,8887.5,Fell,1930-01-01,-40.975,145.6,"[-40.975, 145.6]"
Moradabad,16740,1,L6,70.0,Fell,1808-01-01,28.78333,78.83333,"[28.78333, 78.83333]"
Morávka,16742,1,H5,633.0,Fell,2000-01-01,49.6,18.53333,"[49.6, 18.53333]"
Mornans,16747,1,H5,1300.0,Fell,1875-01-01,44.6,5.13333,"[44.6, 5.13333]"
Moss,36592,1,CO3.6,3763.0,Fell,2006-01-01,59.43333,10.7,"[59.43333, 10.7]"
Moti-ka-nagla,16759,1,H6,1500.0,Fell,1868-01-01,26.83333,77.33333,"[26.83333, 77.33333]"
Motta di Conti,16762,1,H4,9150.0,Fell,1868-01-01,45.2,8.5,"[45.2, 8.5]"
Mount Browne,16766,1,H6,11300.0,Fell,1902-01-01,-29.8,141.7,"[-29.8, 141.7]"
Mount Tazerzait,16804,1,L5,110000.0,Fell,1991-01-01,18.7,4.8,"[18.7, 4.8]"
Mount Vaisi,16805,1,Stone-uncl,17000.0,Fell,1637-01-01,44.08333,6.86667,"[44.08333, 6.86667]"
Mtola,16820,1,Stone-uncl,1100.0,Fell,1944-01-01,-11.5,33.5,"[-11.5, 33.5]"
Muddoor,16841,1,L5,4400.0,Fell,1865-01-01,12.63333,77.01667,"[12.63333, 77.01667]"
Mulletiwu,16851,1,L,25.5,Fell,1795-01-01,9.33333,80.83333,"[9.33333, 80.83333]"
Muraid,16874,1,L6,4703.0,Fell,1924-01-01,24.5,90.21667,"[24.5, 90.21667]"
Murchison,16875,1,CM2,100000.0,Fell,1969-01-01,-36.61667,145.2,"[-36.61667, 145.2]"
Murray,16882,1,CM2,12600.0,Fell,1950-01-01,36.6,-88.1,"[36.6, -88.1]"
Muzaffarpur,16885,1,"Iron, IAB-sHL",1245.0,Fell,1964-01-01,26.13333,85.53333,"[26.13333, 85.53333]"
Myhee Caunta,16887,1,OC,,Fell,1842-01-01,23.05,72.63333,"[23.05, 72.63333]"
Nadiabondi,16889,1,H5,8165.0,Fell,1956-01-01,12.0,1.0,"[12.0, 1.0]"
Nagai,16890,1,L6,1810.0,Fell,1922-01-01,38.12167,140.06167,"[38.12167, 140.06167]"
Nagaria,16892,1,Eucrite-cm,20.0,Fell,1875-01-01,26.98333,78.21667,"[26.98333, 78.21667]"
Nagy-Borové,16893,1,L5,6100.0,Fell,1895-01-01,49.16667,19.5,"[49.16667, 19.5]"
Nakhla,16898,1,Martian (nakhlite),10000.0,Fell,1911-01-01,31.31667,30.35,"[31.31667, 30.35]"
Nakhon Pathom,16899,1,L6,23200.0,Fell,1923-01-01,13.73333,100.08333,"[13.73333, 100.08333]"
Nammianthal,16902,1,H5,4500.0,Fell,1886-01-01,12.28333,79.2,"[12.28333, 79.2]"
Nan Yang Pao,16903,1,L6,52900.0,Fell,1917-01-01,35.66667,103.5,"[35.66667, 103.5]"
Nanjemoy,16904,1,H6,7500.0,Fell,1825-01-01,38.41667,-77.16667,"[38.41667, -77.16667]"
Nantong,16907,1,H6,529.0,Fell,1984-01-01,32.11667,121.8,"[32.11667, 121.8]"
Naoki,16908,1,H6,17000.0,Fell,1928-01-01,19.25,77.0,"[19.25, 77.0]"
Naragh,16909,1,H6,2700.0,Fell,1974-01-01,33.75,51.5,"[33.75, 51.5]"
Narellan,16912,1,L6,367.5,Fell,1928-01-01,-34.05,150.68889,"[-34.05, 150.68889]"
Narni,16914,1,Stone-uncl,,Fell,0921-01-01,42.51667,12.51667,"[42.51667, 12.51667]"
Nassirah,16922,1,H4,347.0,Fell,1936-01-01,-21.73333,165.9,"[-21.73333, 165.9]"
Natal,16923,1,Stone-uncl,1.4,Fell,1973-01-01,,,
Nawapali,16927,1,CM2,105.0,Fell,1890-01-01,21.25,83.66667,"[21.25, 83.66667]"
Neagari,16934,1,L6,420.0,Fell,1995-01-01,36.44917,136.46528,"[36.44917, 136.46528]"
Nedagolla,16935,1,"Iron, ungrouped",4500.0,Fell,1870-01-01,18.68333,83.48333,"[18.68333, 83.48333]"
Nejo,16941,1,L6,2450.0,Fell,1970-01-01,9.5,35.33333,"[9.5, 35.33333]"
Nerft,16945,1,L6,10250.0,Fell,1864-01-01,56.5,21.5,"[56.5, 21.5]"
Neuschwanstein,16950,1,EL6,6189.0,Fell,2002-01-01,47.525,10.80833,"[47.525, 10.80833]"
New Concord,16953,1,L6,230000.0,Fell,1860-01-01,40.0,-81.76667,"[40.0, -81.76667]"
New Halfa,16954,1,L4,12000.0,Fell,1994-01-01,15.36667,35.68333,"[15.36667, 35.68333]"
New Orleans,16960,1,H5,19256.0,Fell,2003-01-01,29.94718,-90.10976,"[29.94718, -90.10976]"
Ngawi,16966,1,LL3.6,1393.0,Fell,1883-01-01,-7.45,111.41667,"[-7.45, 111.41667]"
N'Goureyma,16968,1,"Iron, ungrouped",37500.0,Fell,1900-01-01,13.85,-4.38333,"[13.85, -4.38333]"
Nicorps,16970,1,Stone-uncl,,Fell,1750-01-01,49.03333,-1.43333,"[49.03333, -1.43333]"
Niger (L6),16974,1,L6,3.3,Fell,1967-01-01,,,
Niger (LL6),16975,1,LL6,3.3,Fell,1967-01-01,,,
Nikolaevka,16976,1,H4,3996.0,Fell,1935-01-01,52.45,78.63333,"[52.45, 78.63333]"
Nikolskoe,16977,1,L4,6000.0,Fell,1954-01-01,56.11667,37.33333,"[56.11667, 37.33333]"
Ningbo,16980,1,"Iron, IVA",14250.0,Fell,1975-01-01,29.86667,121.48333,"[29.86667, 121.48333]"
Ningqiang,16981,1,C3-ung,4610.0,Fell,1983-01-01,32.925,105.90667,"[32.925, 105.90667]"
Nio,16982,1,H3-4,467.0,Fell,1897-01-01,34.2,131.56667,"[34.2, 131.56667]"
N'Kandhla,16983,1,"Iron, IID",17200.0,Fell,1912-01-01,-28.56667,30.7,"[-28.56667, 30.7]"
Nobleborough,16984,1,Eucrite-pmict,2300.0,Fell,1823-01-01,44.08333,-69.48333,"[44.08333, -69.48333]"
Noblesville,16985,1,H4-6,483.7,Fell,1991-01-01,40.08528,-86.055,"[40.08528, -86.055]"
Nogata,16988,1,L6,472.0,Fell,0861-01-01,33.725,130.75,"[33.725, 130.75]"
