name,id,nametype,recclass,mass,fall,year,reclat,reclong,point coordinates
Dyarrl Island,7758,1,Mesosiderite-A1,188.0,Fell,1933-01-01,-3.0,151.0,"[-3.0, 151.0]"
Eagle,7760,1,EL6,10000.0,Fell,1947-01-01,40.78167,-96.47167,"[40.78167, -96.47167]"
Ehole,7774,1,H5,2400.0,Fell,1961-01-01,-17.3,15.83333,"[-17.3, 15.83333]"
Eichstädt,7775,1,H5,3000.0,Fell,1785-01-01,48.9,11.21667,"[48.9, 11.21667]"
Ekeby,7776,1,H4,3336.0,Fell,1939-01-01,56.03333,13.0,"[56.03333, 13.0]"
Ekh Khera,7777,1,H6,840.0,Fell,1916-01-01,28.26667,78.78333,"[28.26667, 78.78333]"
El Idrissia,7807,1,L6,10000.0,Fell,1989-01-01,34.41667,3.25,"[34.41667, 3.25]"
El Paso de Aguila,45977,1,H5,17226.0,Fell,1977-01-01,25.37,-97.37,"[25.37, -97.37]"
El Tigre,7819,1,L6,5000.0,Fell,1993-01-01,19.96722,-103.05167,"[19.96722, -103.05167]"
Elbert,7822,1,LL6,680.5,Fell,1998-01-01,39.24667,-104.58817,"[39.24667, -104.58817]"
Elbogen,7823,1,"Iron, IID",107000.0,Fell,1400-01-01,50.18333,12.73333,"[50.18333, 12.73333]"
Elenovka,7824,1,L5,54640.0,Fell,1951-01-01,47.83333,37.66667,"[47.83333, 37.66667]"
Ellemeet,10019,1,Diogenite,1470.0,Fell,1925-01-01,51.75,4.0,"[51.75, 4.0]"
Emmaville,10033,1,Eucrite-mmict,127.0,Fell,1900-01-01,-29.46667,151.61667,"[-29.46667, 151.61667]"
Enshi,10038,1,H5,8000.0,Fell,1974-01-01,30.3,109.5,"[30.3, 109.5]"
Ensisheim,10039,1,LL6,127000.0,Fell,1492-01-01,47.86667,7.35,"[47.86667, 7.35]"
Épinal,10041,1,H5,277.0,Fell,1822-01-01,48.18333,6.46667,"[48.18333, 6.46667]"
Erakot,10042,1,CM2,113.0,Fell,1940-01-01,19.03333,81.89167,"[19.03333, 81.89167]"
Erevan,10043,1,Howardite,107.2,Fell,1911-01-01,40.3,44.5,"[40.3, 44.5]"
Ergheo,10044,1,L5,20000.0,Fell,1889-01-01,1.16667,44.16667,"[1.16667, 44.16667]"
Erxleben,10049,1,H6,2250.0,Fell,1812-01-01,52.21667,11.25,"[52.21667, 11.25]"
Esnandes,10051,1,L6,1500.0,Fell,1837-01-01,46.25,-1.1,"[46.25, -1.1]"
Essebi,10055,1,C2-ung,500.0,Fell,1957-01-01,2.88333,30.83333,"[2.88333, 30.83333]"
Estherville,10059,1,Mesosiderite-A3/4,320000.0,Fell,1879-01-01,43.41667,-94.83333,"[43.41667, -94.83333]"
Farmington,10074,1,L5,89400.0,Fell,1890-01-01,39.75,-97.03333,"[39.75, -97.03333]"
Farmville,10075,1,H4,56000.0,Fell,1934-01-01,35.55,-77.53333,"[35.55, -77.53333]"
Favars,10078,1,H5,1500.0,Fell,1844-01-01,44.38333,2.81667,"[44.38333, 2.81667]"
Fayetteville,10079,1,H4,2360.0,Fell,1934-01-01,36.05,-94.16667,"[36.05, -94.16667]"
Feid Chair,10080,1,H4,380.0,Fell,1875-01-01,36.88333,8.45,"[36.88333, 8.45]"
Felix,10081,1,CO3.3,3200.0,Fell,1900-01-01,32.53333,-87.16667,"[32.53333, -87.16667]"
Fenghsien-Ku,10086,1,H5,82.0,Fell,1924-01-01,34.6,116.75,"[34.6, 116.75]"
Ferguson,10088,1,OC,220.0,Fell,1889-01-01,36.1,-81.41667,"[36.1, -81.41667]"
Fermo,10091,1,H3-5,10200.0,Fell,1996-01-01,43.18111,13.75333,"[43.18111, 13.75333]"
Fisher,10107,1,L6,17600.0,Fell,1894-01-01,47.81667,-96.85,"[47.81667, -96.85]"
Florence,10111,1,H3,3640.0,Fell,1922-01-01,30.83333,-97.76667,"[30.83333, -97.76667]"
Forest City,10119,1,H5,152000.0,Fell,1890-01-01,43.25,-93.66667,"[43.25, -93.66667]"
Forest Vale,10120,1,H4,26000.0,Fell,1942-01-01,-33.35,146.85833,"[-33.35, 146.85833]"
Forksville,10123,1,L6,6067.0,Fell,1924-01-01,36.78333,-78.08333,"[36.78333, -78.08333]"
Forsbach,10163,1,H6,240.0,Fell,1900-01-01,50.95,7.31667,"[50.95, 7.31667]"
Forsyth,10164,1,L6,16300.0,Fell,1829-01-01,33.01667,-83.96667,"[33.01667, -83.96667]"
Fort Flatters,10166,1,Stone-uncl,,Fell,1944-01-01,28.25,7.0,"[28.25, 7.0]"
Frankfort (stone),10177,1,Howardite,650.0,Fell,1868-01-01,34.48333,-87.83333,"[34.48333, -87.83333]"
Fuhe,52412,1,L5,23000.0,Fell,1945-01-01,31.47556,113.56694,"[31.47556, 113.56694]"
Fukutomi,10836,1,L5,11620.0,Fell,1882-01-01,33.18333,130.2,"[33.18333, 130.2]"
Fünen,10838,1,Stone-uncl,,Fell,1654-01-01,55.33333,10.33333,"[55.33333, 10.33333]"
Futtehpur,10839,1,L6,4000.0,Fell,1822-01-01,25.95,80.81667,"[25.95, 80.81667]"
Fuyang,10840,1,Stone-uncl,2500.0,Fell,1977-01-01,32.9,115.9,"[32.9, 115.9]"
Galapian,10846,1,H6,132.7,Fell,1826-01-01,44.3,0.4,"[44.3, 0.4]"
Galim (a),10848,1,LL6,36.1,Fell,1952-01-01,7.05,12.43333,"[7.05, 12.43333]"
Galim (b),10849,1,EH3/4-an,28.0,Fell,1952-01-01,7.05,12.43333,"[7.05, 12.43333]"
Galkiv,10850,1,H4,5000.0,Fell,1995-01-01,51.68333,30.78333,"[51.68333, 30.78333]"
Gambat,10851,1,L6,6400.0,Fell,1897-01-01,27.35,68.53333,"[27.35, 68.53333]"
Gao-Guenie,10854,1,H5,,Fell,1960-01-01,11.65,-2.18333,"[11.65, -2.18333]"
Garhi Yasin,10860,1,"Iron, IIE",380.0,Fell,1917-01-01,27.88333,68.53333,"[27.88333, 68.53333]"
Garland,10861,1,Diogenite-pm,102.0,Fell,1950-01-01,41.68333,-112.13333,"[41.68333, -112.13333]"
Gashua,44882,1,L6,4162.0,Fell,1984-01-01,12.85,11.03333,"[12.85, 11.03333]"
Gasseltepaoua,10866,1,H5,,Fell,2000-01-01,14.15083,-2.04167,"[14.15083, -2.04167]"
Geidam,10870,1,H5,725.0,Fell,1950-01-01,12.91667,11.91667,"[12.91667, 11.91667]"
Gifu,10914,1,L6,14290.0,Fell,1909-01-01,35.53333,136.88333,"[35.53333, 136.88333]"
Girgenti,10917,1,L6,18000.0,Fell,1853-01-01,37.31667,13.56667,"[37.31667, 13.56667]"
Git-Git,10919,1,L6,480.0,Fell,1947-01-01,9.6,9.91667,"[9.6, 9.91667]"
Glanerbrug,10923,1,L/LL5,670.0,Fell,1990-01-01,52.2,6.86667,"[52.2, 6.86667]"
Glanggang,10924,1,H5-6,1303.0,Fell,1939-01-01,-7.25,107.7,"[-7.25, 107.7]"
Glasatovo,10926,1,H4,152000.0,Fell,1918-01-01,57.35,37.61667,"[57.35, 37.61667]"
Glatton,10930,1,L6,767.0,Fell,1991-01-01,52.45972,-0.3,"[52.45972, -0.3]"
Gnadenfrei,10936,1,H5,1750.0,Fell,1879-01-01,50.66667,16.76667,"[50.66667, 16.76667]"
Gopalpur,10948,1,H6,1600.0,Fell,1865-01-01,24.23333,89.05,"[24.23333, 89.05]"
Gorlovka,10949,1,H3.7,3618.0,Fell,1974-01-01,48.28333,38.08333,"[48.28333, 38.08333]"
Granes,10956,1,L6,9000.0,Fell,1964-01-01,42.9,2.25,"[42.9, 2.25]"
Grefsheim,11196,1,L5,45.5,Fell,1976-01-01,60.66667,11.0,"[60.66667, 11.0]"
Grimsby,50911,1,H5,215.0,Fell,2009-01-01,43.2,-79.61667,"[43.2, -79.61667]"
Grosnaja,11206,1,CV3,3500.0,Fell,1861-01-01,43.66667,45.38333,"[43.66667, 45.38333]"
Gross-Divina,11207,1,H5,10500.0,Fell,1837-01-01,49.26667,18.71667,"[49.26667, 18.71667]"
Grossliebenthal,11208,1,L6,8000.0,Fell,1881-01-01,46.35,30.58333,"[46.35, 30.58333]"
Grüneberg,11426,1,H4,1000.0,Fell,1841-01-01,51.93333,15.5,"[51.93333, 15.5]"
Grzempach,11429,1,H5,690.0,Fell,1910-01-01,52.86667,16.63333,"[52.86667, 16.63333]"
Gualeguaychú,11432,1,H6,22000.0,Fell,1932-01-01,-33.0,-58.61667,"[-33.0, -58.61667]"
Guangmingshan,11435,1,H5,2910.0,Fell,1996-01-01,39.80417,122.76389,"[39.80417, 122.76389]"
Guangnan,11436,1,L6,,Fell,1983-01-01,24.1,105.0,"[24.1, 105.0]"
Guangrao,11437,1,L6,1900.0,Fell,1980-01-01,37.1,118.4,"[37.1, 118.4]"
Guareña,11439,1,H6,39000.0,Fell,1892-01-01,38.73333,-6.01667,"[38.73333, -6.01667]"
Guêa,11440,1,Stone-uncl,1915.0,Fell,1891-01-01,43.76667,20.23333,"[43.76667, 20.23333]"
Guibga,11442,1,L5,288.0,Fell,1972-01-01,13.5,-0.68333,"[13.5, -0.68333]"
Guidder,11443,1,LL5,968.0,Fell,1949-01-01,9.91667,13.98333,"[9.91667, 13.98333]"
Gujargaon,11448,1,H5,2449.0,Fell,1982-01-01,22.98333,76.05,"[22.98333, 76.05]"
Gujba,11449,1,CBa,100000.0,Fell,1984-01-01,11.49167,11.65833,"[11.49167, 11.65833]"
Gumoschnik,11450,1,H5,5700.0,Fell,1904-01-01,42.9,24.7,"[42.9, 24.7]"
Gurram Konda,11464,1,L6,28.0,Fell,1814-01-01,13.78333,78.56667,"[13.78333, 78.56667]"
Gursum,11465,1,H4/5,34650.0,Fell,1981-01-01,9.36667,42.41667,"[9.36667, 42.41667]"
Gütersloh,11466,1,H3/4,1000.0,Fell,1851-01-01,51.91667,8.38333,"[51.91667, 8.38333]"
Gyokukei,11467,1,OC,1320.0,Fell,1930-01-01,35.0,127.5,"[35.0, 127.5]"
Hachi-oji,11468,1,H?,0.2,Fell,1817-01-01,35.65,139.33333,"[35.65, 139.33333]"
Hainaut,11472,1,H3-6,9000.0,Fell,1934-01-01,50.31667,3.73333,"[50.31667, 3.73333]"
Hallingeberg,11479,1,L3.4,1456.0,Fell,1944-01-01,57.81667,16.23333,"[57.81667, 16.23333]"
Hamlet,11485,1,LL4,3710.0,Fell,1959-01-01,41.38333,-86.6,"[41.38333, -86.6]"
Haraiya,11824,1,Eucrite-mmict,1000.0,Fell,1878-01-01,26.8,82.53333,"[26.8, 82.53333]"
Haripura,11829,1,CM2,315.0,Fell,1921-01-01,28.38333,75.78333,"[28.38333, 75.78333]"
Harleton,11830,1,L6,8360.0,Fell,1961-01-01,32.675,-94.51167,"[32.675, -94.51167]"
Harrison County,11842,1,L6,680.0,Fell,1859-01-01,38.25,-86.16667,"[38.25, -86.16667]"
Hashima,11848,1,H4,1110.6,Fell,1910-01-01,35.2945,136.70033,"[35.2945, 136.70033]"
Hassi-Jekna,11852,1,"Iron, IAB-sHL",1250.0,Fell,1890-01-01,28.95,0.81667,"[28.95, 0.81667]"
Hatford,11855,1,Stone-uncl,29000.0,Fell,1628-01-01,51.65,-1.51667,"[51.65, -1.51667]"
Haverö,11859,1,Ureilite,1544.0,Fell,1971-01-01,60.24556,22.06194,"[60.24556, 22.06194]"
Hedeskoga,11869,1,H5,3500.0,Fell,1922-01-01,55.46667,13.78333,"[55.46667, 13.78333]"
Hedjaz,11870,1,L3.7-6,6100.0,Fell,1910-01-01,27.33333,35.66667,"[27.33333, 35.66667]"
Heredia,11875,1,H5,1000.0,Fell,1857-01-01,10.0,-84.1,"[10.0, -84.1]"
Hessle,11878,1,H5,20000.0,Fell,1869-01-01,59.85,17.66667,"[59.85, 17.66667]"
Higashi-koen,11883,1,H5,750.0,Fell,1897-01-01,33.6,130.43333,"[33.6, 130.43333]"
High Possil,11884,1,L6,4500.0,Fell,1804-01-01,55.9,-4.23333,"[55.9, -4.23333]"
Hiroshima,11889,1,H5,414.0,Fell,2003-01-01,34.45,132.38333,"[34.45, 132.38333]"
Hoima,44714,1,H6,167.7,Fell,2003-01-01,1.345,31.47278,"[1.345, 31.47278]"
Hökmark,11893,1,L4,305.5,Fell,1954-01-01,64.43333,21.2,"[64.43333, 21.2]"
Holbrook,11894,1,L/LL6,220000.0,Fell,1912-01-01,34.9,-110.18333,"[34.9, -110.18333]"
Holetta,11895,1,Stone-uncl,1415.0,Fell,1923-01-01,9.06667,38.41667,"[9.06667, 38.41667]"
Homestead,11901,1,L5,230000.0,Fell,1875-01-01,41.8,-91.86667,"[41.8, -91.86667]"
Honolulu,11904,1,L5,2420.0,Fell,1825-01-01,21.3,-157.86667,"[21.3, -157.86667]"
Hotse,11913,1,L6,180.0,Fell,1956-01-01,35.66667,115.5,"[35.66667, 115.5]"
Hoxie,11915,1,OC,266.1,Fell,1963-01-01,39.35,-100.45,"[39.35, -100.45]"
Hraschina,11916,1,"Iron, IID",49000.0,Fell,1751-01-01,46.1,16.33333,"[46.1, 16.33333]"
Huaxi,54719,1,H5,1600.0,Fell,2010-01-01,26.46469,106.63241,"[26.46469, 106.63241]"
Hungen,11986,1,H6,112.0,Fell,1877-01-01,50.3,8.91667,"[50.3, 8.91667]"
Hvittis,11989,1,EL6,14000.0,Fell,1901-01-01,61.18333,22.68333,"[61.18333, 22.68333]"
Ibbenbüren,11992,1,Diogenite,2000.0,Fell,1870-01-01,52.28333,7.7,"[52.28333, 7.7]"
Ibitira,11993,1,Eucrite-mmict,2500.0,Fell,1957-01-01,-20.0,-45.0,"[-20.0, -45.0]"
Ibrisim,11994,1,OC,,Fell,1949-01-01,38.0,35.0,"[38.0, 35.0]"
Ichkala,11995,1,H6,3973.0,Fell,1936-01-01,58.2,82.93333,"[58.2, 82.93333]"
Idutywa,12000,1,H5,3457.0,Fell,1956-01-01,-32.1,28.33333,"[-32.1, 28.33333]"
Iguaracu,12003,1,H5,1200.0,Fell,1977-01-01,-23.2,-51.83333,"[-23.2, -51.83333]"
Ijopega,12004,1,H6,7330.0,Fell,1975-01-01,-6.03333,145.36667,"[-6.03333, 145.36667]"
Indarch,12027,1,EH4,27000.0,Fell,1891-01-01,39.75,46.66667,"[39.75, 46.66667]"
Independence,12028,1,L6,880.0,Fell,1917-01-01,39.08333,-94.4,"[39.08333, -94.4]"
Inner Mongolia,12037,1,L6,3000.0,Fell,1963-01-01,41.0,112.0,"[41.0, 112.0]"
Innisfree,12039,1,L5,4576.0,Fell,1977-01-01,53.415,-111.3375,"[53.415, -111.3375]"
Ipiranga,12043,1,H6,7000.0,Fell,1972-01-01,-25.5,-54.5,"[-25.5, -54.5]"
Ishinga,12049,1,H,1300.0,Fell,1954-01-01,-8.93333,33.8,"[-8.93333, 33.8]"
Isthilart,12053,1,H5,3050.0,Fell,1928-01-01,-31.18333,-57.95,"[-31.18333, -57.95]"
